feed,title,long_url,short_url
BBC UK,Watch: Chancellor announces 2p National Insurance cut,https://www.bbc.co.uk/news/uk-politics-68492917,https://da.gd/KdIcJ
BBC UK,Watch: Tories ask to 'pay more and more for less and less' - Starmer,https://www.bbc.co.uk/news/uk-politics-68491892,https://da.gd/G6eKC
BBC UK,K-pop star apologises after relationship goes public,https://www.bbc.co.uk/news/world-asia-68487232,https://da.gd/liwoYk
BBC UK,Cargo ship damaged in fresh attack off Yemen,https://www.bbc.co.uk/news/world-middle-east-68490695,https://da.gd/ngWVN
