feed,title,long_url,short_url
BBC UK,TikTok: Teens educating themselves on skincare trends,https://www.bbc.co.uk/news/uk-wales-68238754?at_medium=RSS&at_campaign=KARANGA,https://da.gd/Gx6Jo
BBC UK,How can you keep children safe online and what parental controls are there?,https://www.bbc.co.uk/news/technology-68225707?at_medium=RSS&at_campaign=KARANGA,https://da.gd/wrpuP
BBC UK,Your pictures on the theme of 'towers',https://www.bbc.co.uk/news/in-pictures-68249563?at_medium=RSS&at_campaign=KARANGA,https://da.gd/ZhVAm
