feed,title,long_url,short_url
BBC UK,Watch: Fighter jets launch to conduct Yemen strikes,https://www.bbc.co.uk/news/world-middle-east-67955835?at_medium=RSS&at_campaign=KARANGA,https://da.gd/DeUB0
BBC UK,Cape Verde reaches malaria-free milestone,https://www.bbc.co.uk/news/world-africa-67951537?at_medium=RSS&at_campaign=KARANGA,https://da.gd/qXzk
BBC UK,Joelinton: Newcastle United midfielder ruled out for minimum of six weeks with thigh injury,https://www.bbc.co.uk/sport/football/67956658?at_medium=RSS&at_campaign=KARANGA,https://da.gd/0M4Eda
