feed,title,long_url,short_url
NPR,Protesters try to storm Baghdad's Green Zone over Quran and flag burning in Denmark,https://www.npr.org/2023/07/22/1189577612/protesters-try-storm-baghdad-green-zone-quran-denmark,https://da.gd/SrtkcZ
NPR,An otter turned outlaw continues to evade wildlife officials in Santa Cruz,https://www.npr.org/2023/07/22/1189352338/sea-otter-search-santa-cruz-surfers,https://da.gd/iqMKD
NPR,How climate change could cause a home insurance meltdown,https://www.npr.org/2023/07/22/1186540332/how-climate-change-could-cause-a-home-insurance-meltdown,https://da.gd/JPgE
