feed,title,long_url,short_url
Al Jazeera,‘I no longer have a country’: Antiwar Russians who fled unlikely to return,https://www.aljazeera.com/news/2024/1/22/russian-exiles-unlikely-to-return?traffic_source=rss,https://da.gd/Eu9bu
Al Jazeera,Iran and Pakistan rebuilding diplomatic ties following tit-for-tat strikes,https://www.aljazeera.com/news/2024/1/22/iran-and-pakistan-rebuilding-diplomatic-ties-following-tit-for-tat-strikes?traffic_source=rss,https://da.gd/rlBT8
Al Jazeera,Resolving the Baloch issue is in Pakistan’s political and economic interest,https://www.aljazeera.com/opinions/2024/1/22/resolving-the-baloch-issue-is-in-pakistans-political-and-economic-interest?traffic_source=rss,https://da.gd/BBrrc0
