feed,title,long_url,short_url
BBC UK,Chris Mason: Is it back to the 1990s for Labour?,https://www.bbc.co.uk/news/uk-politics-67172485?at_medium=RSS&at_campaign=KARANGA,https://da.gd/y5q1
BBC UK,Judge threatens to jail Trump for 'blatant' gag order violation,https://www.bbc.co.uk/news/world-us-canada-67175328?at_medium=RSS&at_campaign=KARANGA,https://da.gd/ffnyis
BBC UK,French minister Darmanin spars with footballer Karim Benzema in Gaza row,https://www.bbc.co.uk/news/world-europe-67167925?at_medium=RSS&at_campaign=KARANGA,https://da.gd/NxYAEh
BBC UK,Israel aims to cut Gaza ties after Hamas defeat,https://www.bbc.co.uk/news/world-middle-east-67175094?at_medium=RSS&at_campaign=KARANGA,https://da.gd/xxwnMj
