feed,title,long_url,short_url
BBC UK,What are routes out of this 'dangerous moment' in Middle East?,https://www.bbc.co.uk/news/world-middle-east-68167920?at_medium=RSS&at_campaign=KARANGA,https://da.gd/P8uEL
BBC UK,Lewis Hamilton wants to end Mercedes stint 'on a high' before Ferrari switch,https://www.bbc.co.uk/sport/formula1/68192824?at_medium=RSS&at_campaign=KARANGA,https://da.gd/0fKaA
BBC UK,Aston Villa 2-2 Bristol City: Visitors twice come from behind to draw in WSL,https://www.bbc.co.uk/sport/football/68115060?at_medium=RSS&at_campaign=KARANGA,https://da.gd/ibU3Xg
