feed,title,long_url,short_url
BBC UK,BMW PGA Championship: Rory McIlroy struggles amid chaotic scenes on 18th hole,https://www.bbc.co.uk/sport/golf/66826272?at_medium=RSS&at_campaign=KARANGA,https://da.gd/33pmyX
BBC UK,Super League: Leigh Leopards 20-19 Wakefield - Golden point drop-goal sends Trinity down,https://www.bbc.co.uk/sport/rugby-league/66806884?at_medium=RSS&at_campaign=KARANGA,https://da.gd/1579
New York Times US,Special Counsel Seeking Limited Gag Order on Trump in Elections Case,https://www.nytimes.com/2023/09/15/us/politics/trump-gag-order.html,https://da.gd/VlHpKV
BBC UK,Rugby World Cup 2023: Wales focus on Portugal despite Nice backdrop,https://www.bbc.co.uk/sport/rugby-union/66797144?at_medium=RSS&at_campaign=KARANGA,https://da.gd/brGJ
