feed,title,long_url,short_url
Al Jazeera,Australia sets stage for landmark Indigenous rights referendum,https://www.aljazeera.com/news/2023/6/19/australia-sets-stage-for-landmark-indigenous-rights-referendum,https://da.gd/3P0I0c
Al Jazeera,North Korea calls botched spy satellite launch ‘gravest failure’,https://www.aljazeera.com/news/2023/6/19/north-korea-calls-botched-spy-satellite-launch-gravest-failure,https://da.gd/8Xcj
Al Jazeera,Russia blocks UN aid for Kakhovka dam collapse victims,https://www.aljazeera.com/news/2023/6/19/russia-blocks-un-aid-for-kakhovka-dam-collapse-victims,https://da.gd/Ck4Ehi
Al Jazeera,"Russia-Ukraine war: List of key events, day 481",https://www.aljazeera.com/news/2023/6/19/russia-ukraine-war-list-of-key-events-day-481,https://da.gd/oe9r
Al Jazeera,Qatari companies partner with Iraq on $9.5bn worth of projects,https://www.aljazeera.com/news/2023/6/18/qatari-companies-partner-with-iraq-on-9-5bn-worth-of-projects,https://da.gd/XUwI
Al Jazeera,"Ukraine takes Zaporizhia village, amid fierce front line battles",https://www.aljazeera.com/news/2023/6/18/russia-and-ukraine-suffer-heavy-losses-as-front-line-battles-rage,https://da.gd/PFU6H6
Al Jazeera,Tunisia protesters demand release of ‘political prisoners’,https://www.aljazeera.com/news/2023/6/18/tunisia-protesters-demand-the-release-of-political-prisoners,https://da.gd/IsZjAa
Al Jazeera,Can China and the US mend their troubled relations?,https://www.aljazeera.com/program/inside-story/2023/6/18/can-china-and-the-us-mend-their-troubled-relations,https://da.gd/zJI2e
Al Jazeera,Israel to ramp up settlement expansion in occupied West Bank,https://www.aljazeera.com/news/2023/6/18/israeli-minister-given-sweeping-settlement-building-powers,https://da.gd/mKUc
Al Jazeera,My imprisoned father is the freest man I know,https://www.aljazeera.com/opinions/2023/6/18/my-imprisoned-father-is-the-freest-man-i-know,https://da.gd/CePsFR
Al Jazeera,‘Heinous crime’: Pakistan makes arrests after Greece boat tragedy,https://www.aljazeera.com/news/2023/6/18/pakistan-arrests-suspected-traffickers-after-refugee-boat-tragedy,https://da.gd/0Kx8b
Al Jazeera,Grieving families mourn for Uganda school attack victims,https://www.aljazeera.com/gallery/2023/6/18/grieving-families-mourn-for-uganda-school-attack-victims,https://da.gd/eDOPeB
Al Jazeera,Uganda school attack: What we know so far,https://www.aljazeera.com/news/2023/6/18/uganda-school-attack-what-we-know-so-far,https://da.gd/yHXSZ
Al Jazeera,"In Gabes, Tunisia’s artisanal fishers are watching fish die",https://www.aljazeera.com/news/2023/6/18/in-gabes-tunisias-artisanal-fishers-are-watching-fish-die,https://da.gd/bFMw07
Al Jazeera,Why are the US and Iran holding talks and why does it matter?,https://www.aljazeera.com/news/2023/6/18/why-are-the-us-and-iran-holding-talks-and-why-does-it-matter,https://da.gd/ZYclCH
Al Jazeera,Why is the Turkish lira’s value still falling?,https://www.aljazeera.com/news/2023/6/18/why-is-the-turkish-lira-still-falling-in-value,https://da.gd/R1NgIN
Al Jazeera,Mali votes in constitutional referendum to pave way for elections,https://www.aljazeera.com/news/2023/6/18/malis-military-rulers-hold-constitutional-referendum-vote,https://da.gd/WqvV
Al Jazeera,Yemenis embark on first direct flight to Saudi Arabia since 2016,https://www.aljazeera.com/news/2023/6/18/yemenis-embark-on-first-direct-flight-to-saudi-arabia-since-2016,https://da.gd/6EP5LU
Al Jazeera,"Tunisia bars TV, radio reports of opposition conspiracy cases",https://www.aljazeera.com/news/2023/6/18/tunisia-bars-tv-radio-reports-of-opposition-conspiracy-cases,https://da.gd/BZVFGR
Al Jazeera,Biden holds first campaign rally for 2024 re-election bid,https://www.aljazeera.com/news/2023/6/18/biden-holds-first-campaign-rally-for-2024-re-election-bid,https://da.gd/yeVVu
Al Jazeera,Philippine ferry with 120 people on board catches fire at sea,https://www.aljazeera.com/news/2023/6/18/philippine-ferry-with-120-people-onboard-catches-fire-at-sea,https://da.gd/yD7IvK
Al Jazeera,"Russia-Ukraine war: List of key events, day 480",https://www.aljazeera.com/news/2023/6/18/russia-ukraine-war-list-of-key-events-day-480,https://da.gd/vwJ3
Al Jazeera,‘A real conversation’: Blinken has ‘constructive’ talks in China,https://www.aljazeera.com/news/2023/6/18/uss-blinken-lands-in-china-but-hopes-for-breakthrough-low,https://da.gd/vByF
Al Jazeera,Will a new constitution in Mali lead the way to civilian rule?,https://www.aljazeera.com/program/inside-story/2023/6/17/will-a-new-constitution-in-mali-lead-the-way-to-civilian-rule,https://da.gd/diLBXt
Al Jazeera,"War in Ukraine must stop, South Africa’s Ramaphosa tells Putin",https://www.aljazeera.com/news/2023/6/17/war-in-ukraine-must-stop-south-africas-ramaphosa-tells-putin,https://da.gd/FUFQ5
