feed,title,long_url,short_url
BBC UK,One dead in New York flood: Video shows submerged streets,https://www.bbc.co.uk/news/world-us-canada-66150950?at_medium=RSS&at_campaign=KARANGA,https://da.gd/soAzmx
BBC UK,Crunch talks due on deep-sea mining controversy,https://www.bbc.co.uk/news/science-environment-66135308?at_medium=RSS&at_campaign=KARANGA,https://da.gd/TvGd
BBC UK,Hospitality sector 'anxious' over summer staffing,https://www.bbc.co.uk/news/business-66021588?at_medium=RSS&at_campaign=KARANGA,https://da.gd/TDQo
