feed,title,long_url,short_url
Al Jazeera,WWE’s Vince McMahon resigns after sexual assault and trafficking lawsuit,https://www.aljazeera.com/news/2024/1/27/wwes-vince-mcmahon-resigns-after-sexual-assault-and-trafficking-lawsuit?traffic_source=rss,https://da.gd/SkqoU1
Al Jazeera,How Israel is responding to the ICJ ruling,https://www.aljazeera.com/program/the-listening-post/2024/1/27/how-israel-is-responding-to-the-icj-ruling?traffic_source=rss,https://da.gd/gjeQK
Al Jazeera,UN Security Council to discuss ICJ ruling in Israel genocide case,https://www.aljazeera.com/news/2024/1/27/un-security-council-to-discuss-icj-ruling-in-israel-genocide-case?traffic_source=rss,https://da.gd/DWpTrm
