feed,title,long_url,short_url
Al Jazeera,Baltic herring threatened by warming sea,https://www.aljazeera.com/gallery/2023/11/13/photos-in-a-pickle-baltic-herring-threatened-by-warming-sea?traffic_source=rss,https://da.gd/0F0eVG
Al Jazeera,"Israel-Hamas war: List of key events, day 38",https://www.aljazeera.com/news/2023/11/13/israel-hamas-war-list-of-key-events-day-38?traffic_source=rss,https://da.gd/v9RQG
Al Jazeera,Man grabs mic from Greta Thunberg at climate rally,https://www.aljazeera.com/program/newsfeed/2023/11/13/man-grabs-mic-from-greta-thunberg-at-climate-rally?traffic_source=rss,https://da.gd/oRCsQ
