feed,title,long_url,short_url
Al Jazeera,Croatia’s top court bars President Milanovic from becoming prime minister,https://www.aljazeera.com/news/2024/4/19/croatias-top-court-bars-president-milanovic-from-becoming-prime-minister?traffic_source=rss,https://da.gd/JNwPw
Al Jazeera,Man reportedly on fire outside of New York Trump trial,https://www.aljazeera.com/news/2024/4/19/man-reportedly-on-fire-outside-of-new-york-trump-trial?traffic_source=rss,https://da.gd/h7wdm
Al Jazeera,US policy is leading to a wider war: Jeffrey Sachs on Middle East tensions,https://www.aljazeera.com/program/upfront/2024/4/19/us-policy-is-leading-to-a-wider-war-jeffrey-sachs-on-middle-east-tensions?traffic_source=rss,https://da.gd/s6XUs
