feed,title,long_url,short_url
BBC UK,'Historic' 15-year plan to boost NHS workforce,https://www.bbc.co.uk/news/health-66052274?at_medium=RSS&at_campaign=KARANGA,https://da.gd/Wl8LmA
BBC UK,Milky Way: Icy observatory reveals 'ghost particles',https://www.bbc.co.uk/news/science-environment-66049330?at_medium=RSS&at_campaign=KARANGA,https://da.gd/0rpL
BBC UK,Quiz of the week: Who missed the Rocketman's final mission?,https://www.bbc.co.uk/news/world-66047528?at_medium=RSS&at_campaign=KARANGA,https://da.gd/sLsjS
