feed,title,long_url,short_url
Al Jazeera,Remains discovered in US match missing British actor Julian Sands,https://www.aljazeera.com/news/2023/6/27/remains-discovered-in-us-match-missing-british-actor-julian-sands,https://da.gd/sGFwH
Al Jazeera,US Senate report highlights Capitol riot intelligence ‘failures’,https://www.aljazeera.com/news/2023/6/27/us-senate-report-highlights-capitol-riot-intelligence-failures,https://da.gd/FKaK
Al Jazeera,Canada launches first-ever national climate adaptation strategy,https://www.aljazeera.com/news/2023/6/27/canada-launches-first-ever-climate-adaption-strategy,https://da.gd/D4mFcK
Al Jazeera,ICC to continue investigation of human rights abuses in Venezuela,https://www.aljazeera.com/news/2023/6/27/icc-to-continue-investigation-of-human-rights-abuses-in-venezuela,https://da.gd/tEeG
Al Jazeera,Russia bombs busy Ukraine restaurant as Wagner moves to Belarus,https://www.aljazeera.com/news/2023/6/27/russia-bombs-busy-ukraine-restaurant-as-wagner-moves-to-belarus,https://da.gd/rjDR6c
Al Jazeera,How much of a threat are private armies?,https://www.aljazeera.com/program/inside-story/2023/6/27/how-much-of-a-threat-are-private-armies,https://da.gd/RX9c
Al Jazeera,Q&A: Afrobeats is ‘one of Africa’s biggest cultural exports’,https://www.aljazeera.com/features/2023/6/27/qa-afrobeats-is-one-of-africas-biggest-cultural-exports,https://da.gd/ISZsIl
Al Jazeera,"US court narrows scope of Trump civil suit, dismisses Ivanka",https://www.aljazeera.com/news/2023/6/27/us-court-narrows-scope-of-trump-civil-suit-dismisses-ivanka,https://da.gd/NK6w
Al Jazeera,Casting menstruation as a taboo is dangerous,https://www.aljazeera.com/opinions/2023/6/27/casting-menstruation-as-a-taboo-is-dangerous,https://da.gd/BzXbp
Al Jazeera,"Sierra Leone’s Bio re-elected as president, avoids run-off",https://www.aljazeera.com/news/2023/6/27/sierra-leones-bio-declared-winner-of-presidential-election,https://da.gd/PTr4p
Al Jazeera,"‘Negligence, misconduct’ led to Epstein jail suicide: Watchdog",https://www.aljazeera.com/news/2023/6/27/negligence-misconduct-led-to-epstein-jail-suicide-watchdog,https://da.gd/WxnOc8
Al Jazeera,Forest decline surges despite climate action vows to end it,https://www.aljazeera.com/news/2023/6/27/forest-decline-surges-despite-climate-action-vows-to-end-it,https://da.gd/daruW
Al Jazeera,"State courts can review election laws, top US court rules",https://www.aljazeera.com/news/2023/6/27/state-courts-can-review-election-laws-top-us-court-rules,https://da.gd/WEFGh
Al Jazeera,Stuck in limbo: Despair and frustration at the Sudan-Egypt border,https://www.aljazeera.com/news/longform/2023/6/27/stuck-in-limbo-frustration-and-despair-on-the-sudan-egypt-border,https://da.gd/BZLi
Al Jazeera,Ahmedabad stadium to host India-Pakistan Cricket World Cup clash,https://www.aljazeera.com/sports/2023/6/27/ahmedabad-stadium-to-host-india-pakistan-cricket-world-cup-game,https://da.gd/Ps568
Al Jazeera,Trump valet’s arraignment delayed again in secret documents case,https://www.aljazeera.com/news/2023/6/27/trump-valet-nautas-arraignment-again-delayed-in-documents-case,https://da.gd/xWXMHI
Al Jazeera,UN documents summary execution of 77 Ukrainian civilians,https://www.aljazeera.com/news/2023/6/27/un-documents-summary-execution-of-77-ukrainian-civilians,https://da.gd/e7dE
Al Jazeera,I See Beauty: Senegal’s makeup artist,https://www.aljazeera.com/program/africa-direct/2023/6/27/i-see-beauty-senegals-makeup-artist,https://da.gd/ywBV
Al Jazeera,Solitary confinement is still widespread in US prisons and jails,https://www.aljazeera.com/news/2023/6/27/solitary-confinement-is-still-widespread-in-us-prisons-and-jails,https://da.gd/hIshIo
Al Jazeera,‘Don’t see why not’: China envoy on backing Ukraine’s ’91 borders,https://www.aljazeera.com/news/2023/6/27/dont-see-why-not-china-envoy-on-backing-ukraines-91-borders,https://da.gd/zGiQm
Al Jazeera,S Africa: ‘Peace mission’ in Ukraine unaffected by Russia mutiny,https://www.aljazeera.com/news/2023/6/27/s-africa-peace-mission-in-ukraine-unaffected-by-russia-mutiny,https://da.gd/2A4puC
Al Jazeera,Activists seek to confront UK’s plan to ban boycotting Israel,https://www.aljazeera.com/features/2023/6/27/activists-seek-to-confront-uks-plan-to-ban-boycotting-israel,https://da.gd/RDXvkR
Al Jazeera,Can the Palestinian Authority protect Palestinians from settlers?,https://www.aljazeera.com/features/2023/6/27/can-the-palestinian-authority-protect-palestinians-from-settlers,https://da.gd/eS0Vj
Al Jazeera,The Box: 27 years in solitary confinement,https://www.aljazeera.com/program/fault-lines/2023/6/27/the-box-27-years-in-solitary-confinement,https://da.gd/tMExx
Al Jazeera,Wagner’s weapons to be transferred to Russian troops: Official,https://www.aljazeera.com/news/2023/6/27/russia-prepares-transfer-of-wagner-hardware-to-army-drops-charge,https://da.gd/DK8U
