feed,title,long_url,short_url
NPR,Fitch just downgraded the U.S. credit rating — how much does it matter?,https://www.npr.org/2023/08/02/1178215888/fitch-downgrade-credit-rating-deficits-debt-economy,https://da.gd/bKT1
NPR,Former dancers accuse Lizzo of harassment and creating a hostile work environment,https://www.npr.org/2023/08/02/1191675195/former-dancers-accuse-lizzo-harassment-creating-hostile-work-environment,https://da.gd/HB8a9
NPR,Trump's attorney tells NPR how he plans to defend against the latest charges,https://www.npr.org/2023/08/02/1191627739/trump-charges-indictment-attorney-jan-6-probe,https://da.gd/MZqB1
