feed,title,long_url,short_url
New York Times US,What the Francis Scott Key Bridge Meant to Baltimore,https://www.nytimes.com/2024/04/01/us/francis-scott-key-bridge-baltimore.html,https://da.gd/1oRkJB
New York Times US,Baltimore’s Traffic Reporter on Congestion After Bridge Collapse,https://www.nytimes.com/2024/04/01/us/baltimore-bridge-traffic-congestion.html,https://da.gd/38Lm
New York Times US,Did Prosecutors’ Sex Shaming Help Send Brenda Andrew to Death Row?,https://www.nytimes.com/2024/04/01/us/supreme-court-death-penalty-sex-shaming.html,https://da.gd/3rkNv
