feed,title,long_url,short_url
BBC World,Burning mangrove trees for a living: 'I'd quit tomorrow if I could',https://www.bbc.co.uk/news/world-asia-66393515?at_medium=RSS&at_campaign=KARANGA,https://da.gd/tlgI
BBC World,Back to the future for India's rice farmers,https://www.bbc.co.uk/news/business-66323991?at_medium=RSS&at_campaign=KARANGA,https://da.gd/j0ss
BBC World,Disney's Snow White: Has the fairy tale already gone sour?,https://www.bbc.co.uk/news/entertainment-arts-66496850?at_medium=RSS&at_campaign=KARANGA,https://da.gd/dPBqL
