feed,title,long_url,short_url
BBC UK,"Lib Dems overturn 19,000 majority",https://www.bbc.co.uk/news/uk-politics-66264317?at_medium=RSS&at_campaign=KARANGA,https://da.gd/t9qoX
BBC UK,Watch: Tories keep Johnson's old seat,https://www.bbc.co.uk/news/uk-politics-66264362?at_medium=RSS&at_campaign=KARANGA,https://da.gd/rq1I
BBC UK,Watch: Lib Dems win Somerton and Frome,https://www.bbc.co.uk/news/uk-politics-66264363?at_medium=RSS&at_campaign=KARANGA,https://da.gd/qdyiY
BBC UK,Watch: The moment Labour wins Selby,https://www.bbc.co.uk/news/uk-politics-66264364?at_medium=RSS&at_campaign=KARANGA,https://da.gd/8MgnMA
