feed,title,long_url,short_url
BBC UK,"Never start vaping, says 12-year-old girl with lung damage",https://www.bbc.co.uk/news/health-67081855?at_medium=RSS&at_campaign=KARANGA,https://da.gd/iz0eu
BBC UK,Madonna's Celebration Tour: Greatest hits show to feature more than 40 songs,https://www.bbc.co.uk/news/entertainment-arts-67075718?at_medium=RSS&at_campaign=KARANGA,https://da.gd/25WHZ
BBC UK,The Papers: 'Royals condemn Hamas' and 'prisons are full',https://www.bbc.co.uk/news/blogs-the-papers-67085264?at_medium=RSS&at_campaign=KARANGA,https://da.gd/iXDIJ
