feed,title,long_url,short_url
Al Jazeera,What happened as Israel pushed Palestinians from Gaza City neighbourhoods,https://www.aljazeera.com/news/2024/7/9/what-happened-as-israel-pushed-palestinians-from-gaza-city-neighbourhoods?traffic_source=rss,https://da.gd/oXRWGN
Al Jazeera,‘I’ll never see him again’: Attacks killing aid workers in eastern DRC,https://www.aljazeera.com/news/2024/7/9/ill-never-see-him-again-attacks-killing-aid-workers-in-eastern-drc?traffic_source=rss,https://da.gd/sP1plV
Al Jazeera,Putin gives India’s PM Modi a tour of his residence,https://www.aljazeera.com/program/newsfeed/2024/7/9/putin-gives-indias-pm-modi-a-tour-of-his-residence?traffic_source=rss,https://da.gd/f6yPX
