feed,title,long_url,short_url
BBC World,Jeffrey Epstein list: What to expect from court filings unsealed in New York,https://www.bbc.co.uk/news/world-us-canada-67861498?at_medium=RSS&at_campaign=KARANGA,https://da.gd/IisnVq
BBC World,Somalia calls Ethiopia-Somaliland agreement act of aggression,https://www.bbc.co.uk/news/world-africa-67861390?at_medium=RSS&at_campaign=KARANGA,https://da.gd/fgWQ
BBC World,Watch: BBC visits earthquake region in Japan,https://www.bbc.co.uk/news/world-asia-67861078?at_medium=RSS&at_campaign=KARANGA,https://da.gd/xKE7T
