feed,title,long_url,short_url
BBC UK,Ros Atkins examines Nigel Farage and Coutts bank account closure dispute,https://www.bbc.co.uk/news/uk-66262494?at_medium=RSS&at_campaign=KARANGA,https://da.gd/ye2MMN
BBC UK,Russia imposes travel restrictions on UK diplomats,https://www.bbc.co.uk/news/uk-66260363?at_medium=RSS&at_campaign=KARANGA,https://da.gd/uIri
BBC UK,Oligarch challenges Russian sanctions at High Court,https://www.bbc.co.uk/news/uk-66260773?at_medium=RSS&at_campaign=KARANGA,https://da.gd/JoKe
