feed,title,long_url,short_url
BBC UK,Watch: Why Sunak’s Rwanda bill battle isn’t over,https://www.bbc.co.uk/news/uk-politics-67692848?at_medium=RSS&at_campaign=KARANGA,https://da.gd/vyPh
BBC UK,Unplanned parachute stunt led to Red Devils death - coroner,https://www.bbc.co.uk/news/articles/c729v49p9d2o?at_medium=RSS&at_campaign=KARANGA,https://da.gd/Frf8sj
BBC UK,Sunak takes the win but the battle is not over - Chris Mason,https://www.bbc.co.uk/news/uk-politics-67697197?at_medium=RSS&at_campaign=KARANGA,https://da.gd/iHGcj
