feed,title,long_url,short_url
BBC UK,Frank Ospina begged to be sent home - but died in UK detention,https://www.bbc.co.uk/news/uk-66791416?at_medium=RSS&at_campaign=KARANGA,https://da.gd/AN8vXS
BBC UK,"Libya floods: 5,300 dead amid calls for humanitarian support",https://www.bbc.co.uk/news/world-africa-66800446?at_medium=RSS&at_campaign=KARANGA,https://da.gd/ICZC1M
BBC UK,New treatment for migraine attacks on NHS to benefit thousands,https://www.bbc.co.uk/news/health-66799682?at_medium=RSS&at_campaign=KARANGA,https://da.gd/YGB9M
BBC UK,France sets out plan to ban disposable vapes,https://www.bbc.co.uk/news/world-europe-66797972?at_medium=RSS&at_campaign=KARANGA,https://da.gd/bogKK
BBC UK,'Overwhelming consensus' on AI regulation - Musk,https://www.bbc.co.uk/news/technology-66804996?at_medium=RSS&at_campaign=KARANGA,https://da.gd/OSbPu
BBC UK,Cash payments rise for first time in 10 years,https://www.bbc.co.uk/news/business-66796263?at_medium=RSS&at_campaign=KARANGA,https://da.gd/y0CC7V
BBC UK,Seattle officer recorded joking about woman killed by a police car,https://www.bbc.co.uk/news/world-us-canada-66803960?at_medium=RSS&at_campaign=KARANGA,https://da.gd/dQDSd
