feed,title,long_url,short_url
BBC UK,Vogue model Ellie Goldstein: 'Doctors said I wouldn't walk or talk',https://www.bbc.co.uk/news/uk-england-essex-67613146?at_medium=RSS&at_campaign=KARANGA,https://da.gd/7eeTDj
BBC UK,"Baldur's Gate 3, Lego Fortnite, and 7 other games that defined 2023",https://www.bbc.co.uk/news/newsbeat-67726601?at_medium=RSS&at_campaign=KARANGA,https://da.gd/3uREdi
BBC UK,Rick Astley: Ready to roll into 2024 with BBC One New Year's Eve concert,https://www.bbc.co.uk/news/entertainment-arts-67732552?at_medium=RSS&at_campaign=KARANGA,https://da.gd/Kxkm
BBC UK,Big Ben: New Year's Eve marks 100 years of live bongs on radio,https://www.bbc.co.uk/news/entertainment-arts-67632538?at_medium=RSS&at_campaign=KARANGA,https://da.gd/F9aPqK
BBC UK,Bangladesh sees dramatic rise in lightning deaths linked to climate change,https://www.bbc.co.uk/news/world-asia-67779223?at_medium=RSS&at_campaign=KARANGA,https://da.gd/9tR4
BBC UK,The Pavilion: The Pakistani cricket show that charmed Indians in 2023,https://www.bbc.co.uk/news/world-asia-india-67650892?at_medium=RSS&at_campaign=KARANGA,https://da.gd/ItVz
BBC UK,Sahara migrant smuggling: Double-edged sword of overturning Niger's ban,https://www.bbc.co.uk/news/world-africa-67771597?at_medium=RSS&at_campaign=KARANGA,https://da.gd/yeOz
