feed,title,long_url,short_url
NPR,Where the Republican presidential candidates stand on Donald Trump,https://www.npr.org/2024/01/10/1223728248/republican-candidates-donald-trump-investigations,https://da.gd/tW93o8
NPR,Federal fix for rural hospitals gets few takers so far,https://www.npr.org/sections/health-shots/2024/01/10/1223828296/federal-fix-for-rural-hospitals-gets-few-takers-so-far,https://da.gd/KDR2J2
NPR,Researchers find a massive number of plastic particles in bottled water,https://www.npr.org/2024/01/10/1223730333/bottled-water-plastic-microplastic-nanoplastic-study,https://da.gd/feqKt
NPR,They crashed in the mountains and turned to cannibalism. He focuses on the humanity,https://www.npr.org/2024/01/10/1223078048/society-of-the-snow-ja-bayona-1972-plane-crash-cannibalism,https://da.gd/fx0G7
NPR,"U.S. cut climate pollution in 2023, but not fast enough to limit global warming",https://www.npr.org/2024/01/10/1223747804/u-s-cut-climate-pollution-in-2023-but-not-fast-enough-to-limit-global-warming,https://da.gd/geO6u
