feed,title,long_url,short_url
BBC UK,Israel Gaza: How missiles and destruction quickly returned after ceasefire,https://www.bbc.co.uk/news/world-middle-east-67591768?at_medium=RSS&at_campaign=KARANGA,https://da.gd/5J4u
BBC UK,COP28: 'The Earth does not belong to us' - King Charles III,https://www.bbc.co.uk/news/science-environment-67588259?at_medium=RSS&at_campaign=KARANGA,https://da.gd/53rbp
BBC UK,Sultan al-Jaber: A quick guide to the COP28 president,https://www.bbc.co.uk/news/science-environment-67591804?at_medium=RSS&at_campaign=KARANGA,https://da.gd/kV6Fle
