feed,title,long_url,short_url
BBC World,Blue whales: Ocean giants return to 'safe' tropical haven,https://www.bbc.co.uk/news/science-environment-67496339?at_medium=RSS&at_campaign=KARANGA,https://da.gd/U0TQH
BBC World,Ex-Obama aide held over anti-Muslim abuse at NYC halal cart vendor,https://www.bbc.co.uk/news/world-us-canada-67492512?at_medium=RSS&at_campaign=KARANGA,https://da.gd/C87tY
BBC World,Gunmen and sexism: On the road with Mexico's women truckers,https://www.bbc.co.uk/news/world-latin-america-67421698?at_medium=RSS&at_campaign=KARANGA,https://da.gd/8vwFpB
