feed,title,long_url,short_url
New York Times World,Friday Briefing,https://www.nytimes.com/2024/06/07/briefing/india-modi-election.html,https://da.gd/Fddmk
New York Times World,"Ukraine’s Borderland, in Photos",https://www.nytimes.com/2024/06/07/world/europe/ukraine-border-russia-sumy-kharkiv-photos.html,https://da.gd/msI8Pt
New York Times World,How Hezbollah and Israel Have Kept the Lid on a Wider War,https://www.nytimes.com/2024/06/07/world/middleeast/lebanon-israel-hezbollah.html,https://da.gd/8gpz8
