feed,title,long_url,short_url
BBC UK,'The shame of being told you're inadequate by Ofsted',https://www.bbc.co.uk/news/education-67652911?at_medium=RSS&at_campaign=KARANGA,https://da.gd/7Ri3y
BBC UK,"Doctor Who: Yasmin Finney on fandom, family and online trolls",https://www.bbc.co.uk/news/newsbeat-67635601?at_medium=RSS&at_campaign=KARANGA,https://da.gd/rDBoR
BBC UK,MPs defeated at election to get help finding a new career,https://www.bbc.co.uk/news/uk-politics-67629470?at_medium=RSS&at_campaign=KARANGA,https://da.gd/Qm46r
