feed,title,long_url,short_url
NPR,A decline in beer sales has led to an excess supply of hops in the U.S,https://www.npr.org/2024/06/27/nx-s1-5017737/a-decline-in-beer-sales-has-led-to-an-excess-supply-of-hops-in-the-u-s,https://da.gd/VbOH
NPR,Biden issues pardon to troops expelled from the military for their sexuality,https://www.npr.org/2024/06/27/nx-s1-5020287/biden-issues-pardon-to-troops-expelled-from-the-military-for-their-sexuality,https://da.gd/6eBIf
NPR,States had rules for hunting and trapping mountain lions except Texas. That's changed,https://www.npr.org/2024/06/27/nx-s1-4985146/states-had-rules-for-hunting-and-trapping-mountain-lions-except-texas-thats-changed,https://da.gd/pFSDu
