feed,title,long_url,short_url
BBC UK,Prague: Dramatic video from city shows people seen leaping from building ledge,https://www.bbc.co.uk/news/world-europe-67795376?at_medium=RSS&at_campaign=KARANGA,https://da.gd/kxluz
BBC UK,Rudy Giuliani files for bankruptcy after defamation verdict,https://www.bbc.co.uk/news/world-us-canada-67796546?at_medium=RSS&at_campaign=KARANGA,https://da.gd/FDOy
BBC UK,Mother murder arrest after baby's Leeds park death,https://www.bbc.co.uk/news/uk-england-leeds-67794235?at_medium=RSS&at_campaign=KARANGA,https://da.gd/Leqn
