feed,title,long_url,short_url
BBC UK,US deploys jets and warships as Iran threatens Israel,https://www.bbc.com/news/articles/cw5y5637eqdo,https://da.gd/pq9OS
BBC UK,I caught malaria in a medical trial to fund my Edinburgh Fringe show,https://www.bbc.com/news/articles/c0jqxe44g7go,https://da.gd/zGlNP
BBC UK,The 'genius' singer who was ahead of her time - then disappeared,https://www.bbc.com/news/articles/c98q2nxjdn0o,https://da.gd/GhrD
BBC UK,'My tattoo gave me my freedom back',https://www.bbc.com/news/articles/c6ppp07y657o,https://da.gd/22EZh
BBC UK,Concerns over record-low butterfly and moth numbers,https://www.bbc.com/news/articles/c6p2p64zdxro,https://da.gd/w5rEy
