feed,title,long_url,short_url
BBC UK,Scottish government abandons court case over gender law veto,https://www.bbc.co.uk/news/uk-scotland-67773606?at_medium=RSS&at_campaign=KARANGA,https://da.gd/9Rc7
BBC UK,Isabel dos Santos: Angolan billionaire hit with £580m asset freeze,https://www.bbc.co.uk/news/uk-67767482?at_medium=RSS&at_campaign=KARANGA,https://da.gd/MFAu
BBC UK,Jamie Murray named tournament director of Queen's Club Championships,https://www.bbc.co.uk/sport/tennis/67777996?at_medium=RSS&at_campaign=KARANGA,https://da.gd/8bCwDx
