feed,title,long_url,short_url
BBC UK,Could the UK's tides help wean us off fossil fuels?,https://www.bbc.co.uk/news/science-environment-67170625?at_medium=RSS&at_campaign=KARANGA,https://da.gd/GMQBz
BBC UK,"Pepper X: Eating world's hottest pepper was euphoric, says creator",https://www.bbc.co.uk/news/world-us-canada-67172726?at_medium=RSS&at_campaign=KARANGA,https://da.gd/gHdY
BBC UK,'My business had £1.6m stolen in 20 minutes',https://www.bbc.co.uk/news/business-67149919?at_medium=RSS&at_campaign=KARANGA,https://da.gd/WXll10
BBC UK,Mario v Sonic: Rivals launch similar games in same week,https://www.bbc.co.uk/news/technology-67157732?at_medium=RSS&at_campaign=KARANGA,https://da.gd/veeCLg
BBC UK,Prince's Diamonds and Pearls: An oral history,https://www.bbc.co.uk/news/entertainment-arts-67155662?at_medium=RSS&at_campaign=KARANGA,https://da.gd/d20Z
